;borough;neighborhood;zip_code;latitude;longitude;landsqmi;density;median_house_value;median_age;avg_household_size;avg_agi;avg_wage;total_population;nb_positive_covid19;perc_pop_positive_covid19;medical_center;arts_entertainment;nightlife_spot;outdoors_recreation;shop_service;food
70;Bronx;Bronx Park and Fordham;10467;40.872265000000006;-73.86936999999999;2.33;44724.0;378073.0;34.2;2.8;31440.0;32899.0;104206.92;2372;0.022762403878744328;7.0;4.0;5.0;10.0;36.0;41.0
71;Bronx;Bronx Park and Fordham;10468;40.867107;-73.89916;1.08;73283.0;218837.0;32.3;3.0;26859.0;28485.0;79145.64;1666;0.021049801353555293;36.0;11.0;14.0;21.0;47.0;48.0
72;Bronx;Northeast Bronx;10469;40.868643;-73.84735;2.48;29911.0;481531.0;39.6;3.2;42269.0;41676.0;74179.28;2131;0.028727698624198026;9.0;3.0;7.0;9.0;36.0;32.0
73;Bronx;Northeast Bronx;10470;40.900628999999995;-73.86072;1.42;10392.0;468037.0;41.6;2.5;45914.0;46557.0;14756.64;336;0.0227694109228117;10.0;7.0;17.0;12.0;42.0;43.0
74;Bronx;Kingsbridge and Riverdale;10471;40.900819;-73.90347;2.58;8661.0;379310.0;43.2;2.2;135945.0;90265.0;22345.38;414;0.01852731974126195;7.0;3.0;4.0;11.0;38.0;19.0
75;Bronx;Southeast Bronx;10472;40.830409;-73.86845;1.05;66573.0;483106.0;32.7;3.1;27232.0;29372.0;69901.65000000001;1287;0.018411582559209973;11.0;6.0;18.0;9.0;44.0;40.0
76;Bronx;Southeast Bronx;10473;40.818514;-73.85893;2.18;29108.0;423842.0;35.8;3.0;35911.0;36062.0;63455.44;1371;0.021605712607146055;12.0;2.0;4.0;10.0;42.0;24.0
77;Bronx;Hunts Point and Mott Haven;10474;40.81321;-73.88755;1.53;8344.0;457129.0;30.1;3.3;25502.0;26316.0;12766.32;230;0.018016155007864444;0.0;4.0;7.0;7.0;32.0;30.0
78;Bronx;Northeast Bronx;10475;40.878522;-73.82540999999999;1.72;26050.0;300588.0;46.0;2.3;44554.0;42724.0;44806.0;1285;0.02867919475070303;8.0;5.0;1.0;11.0;31.0;17.0
79;Queens;Southeast Queens;11004;40.742944;-73.70956;0.95;16166.0;572282.0;44.9;2.9;61829.0;59558.0;15357.699999999999;415;0.027022275470936406;7.0;4.0;0.0;7.0;28.0;10.0
80;Queens;Northwest Queens;11101;40.745340999999996;-73.93907;2.62;11205.0;951480.0;35.1;2.3;59378.0;61362.0;29357.100000000002;440;0.014987856429960724;10.0;34.0;14.0;46.0;40.0;50.0
81;Queens;Northwest Queens;11102;40.771285999999996;-73.92461999999999;0.81;42365.0;629972.0;33.6;2.5;44049.0;46130.0;34315.65;405;0.011802195208308745;30.0;15.0;36.0;45.0;46.0;50.0
82;Queens;Northwest Queens;11103;40.762968;-73.91091;0.71;54276.0;857693.0;34.1;2.4;43463.0;45943.0;38535.96;377;0.00978307015058143;42.0;17.0;48.0;36.0;50.0;50.0
83;Queens;Northwest Queens;11104;40.743796;-73.91949;0.39;67071.0;465788.0;38.9;2.3;48955.0;50807.0;26157.690000000002;330;0.012615792908318739;42.0;15.0;44.0;45.0;50.0;50.0
84;Queens;Northwest Queens;11105;40.774685999999996;-73.90816;1.63;23184.0;857243.0;35.4;2.5;49700.0;51171.0;37789.92;357;0.009446963634747044;44.0;27.0;46.0;48.0;50.0;50.0
85;Queens;Northwest Queens;11106;40.762012;-73.93146999999999;0.86;47488.0;565423.0;35.9;2.3;44886.0;46689.0;40839.68;431;0.0105534617313358;41.0;19.0;28.0;27.0;50.0;50.0
86;Brooklyn;Northwest Brooklyn;11201;40.695285999999996;-73.98907;1.42;44108.0;969698.0;35.3;2.1;157833.0;125881.0;62633.35999999999;460;0.007344328964628435;43.0;42.0;45.0;48.0;50.0;50.0
87;Brooklyn;Flatbush;11203;40.649059;-73.93304;2.15;35936.0;483331.0;39.8;2.7;36170.0;36630.0;77262.4;1385;0.01792592515893889;5.0;7.0;12.0;7.0;42.0;36.0
88;Brooklyn;Borough Park;11204;40.618944;-73.98473;1.59;51123.0;884232.0;34.7;3.3;48256.0;39720.0;81285.57;1358;0.01670653229103271;23.0;10.0;6.0;9.0;39.0;47.0
89;Brooklyn;Northwest Brooklyn;11205;40.694214;-73.96529;0.95;48293.0;745125.0;30.2;2.7;53527.0;50167.0;45878.35;490;0.01068041897757875;16.0;46.0;33.0;45.0;47.0;50.0
90;Brooklyn;Bushwick and Williamsburg;11206;40.702348;-73.94288;1.43;62083.0;669106.0;29.4;2.9;31350.0;31013.0;88778.69;1013;0.011410395895681722;44.0;45.0;22.0;38.0;50.0;45.0
91;Brooklyn;East New York and New Lots;11207;40.670874;-73.89424;2.67;35172.0;487604.0;34.3;2.8;29215.0;30155.0;93909.23999999999;1306;0.013907044716792513;10.0;3.0;3.0;13.0;40.0;40.0
92;Brooklyn;East New York and New Lots;11208;40.672666;-73.87248000000001;3.46;29224.0;502223.0;32.3;3.2;27866.0;29776.0;101115.04;1463;0.014468668558109654;6.0;4.0;6.0;12.0;40.0;42.0
93;Brooklyn;Southwest Brooklyn;11209;40.62327;-74.0295;2.16;31888.0;819683.0;40.8;2.3;66054.0;62799.0;68878.08;800;0.0116147256137221;42.0;17.0;36.0;38.0;50.0;50.0
94;Brooklyn;Flatbush;11210;40.627946;-73.94552;1.64;42655.0;626261.0;35.4;3.1;67211.0;48924.0;69954.2;1219;0.017425687092411893;28.0;12.0;7.0;14.0;44.0;43.0
95;Brooklyn;Greenpoint;11211;40.71209;-73.95427;2.3;44838.0;1026600.0;30.8;2.6;54060.0;51448.0;103127.4;1422;0.013788770006807114;35.0;49.0;50.0;47.0;50.0;50.0
96;Brooklyn;Central Brooklyn;11212;40.662191;-73.91328;1.54;54649.0;460727.0;35.4;2.4;28184.0;29080.0;84159.46;1134;0.013474421057359446;6.0;4.0;6.0;13.0;37.0;40.0
97;Brooklyn;Central Brooklyn;11213;40.670937;-73.93459;1.09;61850.0;797979.0;34.3;2.7;34547.0;32803.0;67416.5;1010;0.014981495627924914;14.0;11.0;8.0;27.0;49.0;48.0
98;Brooklyn;Southwest Brooklyn;11214;40.598994;-73.99611;2.18;43786.0;761656.0;39.8;2.9;39866.0;40820.0;95453.48000000001;1050;0.011000122782322864;40.0;11.0;9.0;19.0;41.0;48.0
99;Brooklyn;Northwest Brooklyn;11215;40.667508000000005;-73.9856;2.18;33082.0;1219685.0;35.8;2.5;104359.0;91511.0;72118.76000000001;453;0.006281306001378836;29.0;45.0;48.0;48.0;50.0;50.0
100;Brooklyn;Central Brooklyn;11216;40.680398;-73.94824;0.94;62274.0;1031885.0;34.5;2.4;37236.0;38027.0;58537.56;500;0.00854152445028457;19.0;43.0;44.0;43.0;50.0;50.0
101;Brooklyn;Northwest Brooklyn;11217;40.68209;-73.97783000000001;0.75;53641.0;1189659.0;35.4;2.3;102611.0;86378.0;40230.75;411;0.010216066068865234;36.0;41.0;49.0;46.0;50.0;50.0
102;Brooklyn;Borough Park;11218;40.644552000000004;-73.97595;1.43;54732.0;765367.0;33.7;3.1;47540.0;47158.0;78266.76;1192;0.015229964802426983;34.0;16.0;15.0;32.0;44.0;50.0
103;Brooklyn;Borough Park;11219;40.632449;-73.99629;1.48;64342.0;926178.0;28.0;3.7;37407.0;30636.0;95226.16;1988;0.020876616257549396;27.0;3.0;9.0;9.0;41.0;42.0
104;Brooklyn;Sunset Park;11220;40.641436;-74.01574000000001;1.79;56878.0;876023.0;34.0;3.5;25773.0;26577.0;101811.62;1025;0.010067613107423299;44.0;13.0;17.0;22.0;44.0;44.0
